id,rate_unemployment,percent_college,percent_married,median_income,percent_lunch,percent_multiling,state,zip_code,school_type,school_level,average_act
291050000350,0.0545041635124905,0.54972804972805,0.845868152274837,62298.0,0.0978147762747138,0.1187664271946732,NJ,07840,Regular School,High,21.7887667887668
120048000714,0.105581708137189,0.719308700834327,0.721966205837174,66625.0,0.599415204678363,0.03186118043061923,FL,32526,Regular School,High,19.2246642246642
340432003054,0.169593345656192,0.472695584817971,0.258130918073281,28015.0,0.873873873873874,0.3451835553680149,NY,10463,Regular School,High,18.1257631257631
130414001915,0.0660247592847318,0.600142045454545,0.676311030741411,52765.0,0.291497975708502,0.00932684509326845,IL,61842,Regular School,High,21.3
292049001095,0.0519294902334445,0.867748478701826,0.928197456993268,135114.0,0.00613967766692249,0.14470976509415648,NJ,07675,Regular School,High,24.8656898656899
180291000380,0.112998150327896,0.666088601608072,0.659129260884239,72137.0,0.158590308370044,0.012844729882886286,IN,46040,Regular School,High,21.029304029304
180363000550,0.0614224137931034,0.500875043752188,0.749523809523809,65288.0,0.147766323024055,0.016203703703703703,IN,47527,Regular School,High,21.01221001221
210438001086,0.110970996216898,0.375653082549634,0.776086956521739,50189.0,0.393199651264167,0.230096143459004,LA,70345,Regular School,High,20.2
220030000151,0.181953765846383,0.572018890200708,0.155,27787.0,0.737762237762238,0.23574657045436523,MA,02119,Regular School,High,18.1501831501831
260100104693,0.0704828660436137,0.729138166894665,0.889468196037539,72281.0,0.144702842377261,0.0191309100847226,MI,48158,Regular School,High,21.0
290564000109,0.0565195835399108,0.70601959869342,0.809798270893372,94813.0,0.314176245210728,0.24138690633535995,NJ,08816,Regular School,High,17.1978021978022
292685000665,0.0580474934036939,0.754798761609907,0.841666666666667,88864.0,0.0883720930232558,0.1806036615536863,NJ,07081,Regular School,High,21.5934065934066
420885003482,0.0676713947990544,0.701942740286299,0.799209486166008,66935.0,0.17908787541713,0.02186735721478924,TN,37090,Regular School,High,20.3
420849006364,0.0473465140478668,0.621233194251275,0.67037037037037,59038.0,0.389324960753532,0.02364044103905812,TN,37062,Regular School,High,21.6
130090000341,0.114307931570762,0.522645812968394,0.440666204024983,43619.0,0.682495344506518,0.1374161258387416,GA,30126,Regular School,High,17.5885225885226
420492000988,0.0740474478792236,0.625774473358117,0.603004291845494,51992.0,0.572679509632224,0.07572266443234185,TN,37214,Regular School,High,18.4
421512003158,0.128787878787879,0.290274684484039,0.257411764705882,27346.0,0.593621399176955,0.2762237762237762,TX,77541,Regular School,High,18.7362637362637
130261001162,0.152914798206278,0.304153640017865,0.463414634146341,35917.0,0.979002624671916,0.01818181818181818,GA,31730,Regular School,High,18.7851037851038
421641006455,0.0622837370242214,0.572186836518047,0.708609271523179,66886.0,0.255354200988468,0.2623461787564767,TX,78410,Regular School,High,20.7142857142857
390461302447,0.0594277329420396,0.414373947220663,0.568588469184891,44449.0,0.364864864864865,0.010061919504643963,PA,15344,Regular School,High,19.8595848595849
130123000474,0.236517218973359,0.65993465993466,0.573481384715872,58614.0,0.7,0.06355797714769361,GA,30294,Regular School,High,16.2454212454212
